title;type;price;range;brand;image
Citroen E-Mehari Cabrio 2016;BEV;Erhältlich ab 24.790 EUR;NEFZ-Reichweite (elekt.): 200 km;Citroen;https://www.e-stations.de/img/cars/Citroen/E-Mehari-1.jpg
Dacia Spring 2021;BEV;vrs. Erhältlich ab 190.000 EUR;NEFZ-Reichweite (elekt.): 225 km;Dacia;
DS Automobiles DS 3 Crossback E-Tense 2019;BEV;Erhältlich ab 37.442 EUR;NEFZ-Reichweite (elekt.): 320 km;DS;https://www.e-stations.de/img/cars/DS%20Automobiles/DS_3-1.jpg
e.GO Mobile AG e.GO Life 20 2017;BEV;Erhältlich ab 15.900 EUR;NEFZ-Reichweite (elekt.): 136 km;e.GO;https://www.e-stations.de/img/cars/e.GO%20Mobile%20AG/eGOLife-1.jpg
e.GO Mobile AG e.GO Life 40 2017;BEV;Erhältlich ab 17.400 EUR;NEFZ-Reichweite (elekt.): 146 km;e.GO;https://www.e-stations.de/img/cars/e.GO%20Mobile%20AG/eGOLife-2.jpg
e.GO Mobile AG e.GO Life 60 2017;BEV;Erhältlich ab 19.900 EUR;NEFZ-Reichweite (elekt.): 194 km;e.GO;https://www.e-stations.de/img/cars/e.GO%20Mobile%20AG/eGOLife-1.jpg
emovum (Karabag) New 500E;BEV;Erhältlich ab 34.999 EUR;NEFZ-Reichweite (elekt.): 100 km;emovum;https://www.e-stations.de/img/cars/emovum%20(Karabag)/new500e.jpg
Faraday Future FF91 Basisversion 2018;BEV;Erhältlich ab 190.000 EUR;NEFZ-Reichweite (elekt.): 608 km;Faraday;https://www.e-stations.de/img/cars/Faraday%20Future/FF91-1.jpg
Fiat Ducato Basis;BEV;;Reichweite noch unbekannt;Fiat;https://www.e-stations.de/img/cars/Fiat/206-Ducato-1.jpg
Fisker Karma ECOSTANDARD;E-REV;Erhältlich ab 114.900 EUR;NEFZ-Reichweite (elekt.): 83 km;Fisker;https://www.e-stations.de/img/cars/Fisker/karma.jpg
Ford C-Max Energi 2014;PHEV;Erhältlich ab 35.500 EUR;NEFZ-Reichweite (elekt.): 30 km;Ford;https://www.e-stations.de/img/cars/Ford/cmax.jpg
Ford Focus Electric 2012;BEV;Erhältlich ab 34.900 EUR;NEFZ-Reichweite (elekt.): 162 km;Ford;https://www.e-stations.de/img/cars/Ford/Ford-E-Focus-1.JPG
Ford Focus Electric 2016;BEV;Erhältlich ab 34.900 EUR;NEFZ-Reichweite (elekt.): 225 km;Ford;https://www.e-stations.de/img/cars/Ford/153-Focus-1.jpg
Ford Mustang Mach E 2019;BEV;Erhältlich ab 54.200 EUR;NEFZ-Reichweite (elekt.): 380 km;Ford;
German E-Cars STROMOS 2010;BEV;Erhältlich ab 41.990 EUR;NEFZ-Reichweite (elekt.): 120 km;German;https://www.e-stations.de/img/cars/German%20E-Cars/stromos.jpg
Google Car 2014;BEV;;Reichweite noch unbekannt;Google;https://www.e-stations.de/img/cars/Google/GoogleCar.JPG
Honda e 2020;BEV;Erhältlich ab 32.997 EUR;NEFZ-Reichweite (elekt.): 220 km;Honda;
Honda Urban EV Concept 2019;BEV;vrs. Erhältlich ab 32.000 EUR;Reichweite noch unbekannt;Honda;https://www.e-stations.de/img/cars/Honda/Urban%20EV-1.jpg
Hyundai Ioniq 5 2021;BEV;Erhältlich ab 59.995 EUR;NEFZ-Reichweite (elekt.): 460 km;Hyundai;
Hyundai Ioniq Plug-In Hybrid 2016;PHEV;Erhältlich ab 29.900 EUR;NEFZ-Reichweite (elekt.): 50 km;Hyundai;https://www.e-stations.de/img/cars/Hyundai/Ioniq-1.jpg
Hyundai Ioniq Electric 2016;BEV;vrs. Erhältlich ab 33.300 EUR;NEFZ-Reichweite (elekt.): 280 km;Hyundai;https://www.e-stations.de/img/cars/Hyundai/Ioniq-electric-1.jpg
Hyundai Kona Elektro 150 kW 2018;BEV;Erhältlich ab 40.794 EUR;NEFZ-Reichweite (elekt.): 484 km;Hyundai;https://www.e-stations.de/img/cars/Hyundai/Kona-1.jpg
Hyundai Kona Elektro 100 kW 2018;BEV;Erhältlich ab 33.971 EUR;NEFZ-Reichweite (elekt.): 305 km;Hyundai;
Hyundai Kona Hybrid 2019;PHEV;Erhältlich ab 26.900 EUR;Reichweite noch unbekannt;Hyundai;
I SEE Electric Trucks e-Vivaro 2019;BEV;;NEFZ-Reichweite (elekt.): 300 km;I SEE;https://www.e-stations.de/img/cars/I%20SEE%20Electric%20Trucks/221-Vivaro-1.jpg
IMA Colibri Prime 2013;BEV;Erhältlich ab 14.990 EUR;NEFZ-Reichweite (elekt.): 110 km;IMA;https://www.e-stations.de/img/cars/IMA/Colibri.jpg
Jaguar I-PACE EV400 AWD 2019;BEV;Erhältlich ab 79.450 EUR;NEFZ-Reichweite (elekt.): 470 km;Jaguar;https://www.e-stations.de/img/cars/Jaguar/I-PACE-14.jpg
Kia Ceed 2019;PHEV;;Reichweite noch unbekannt;Kia;https://www.e-stations.de/img/cars/Kia/218-Ceed-1.jpg
Kia e-Niro 39,2 kWh 2018;BEV;Erhältlich ab 34.400 EUR;NEFZ-Reichweite (elekt.): 312 km;Kia;https://www.e-stations.de/img/cars/Kia/156-Niro-1.jpg
Kia e-Niro 64 kWh 2018;BEV;Erhältlich ab 38.104 EUR;NEFZ-Reichweite (elekt.): 485 km;Kia;https://www.e-stations.de/img/cars/Kia/156-Niro-1.jpg
Kia Niro Plug-in Hybrid Edition 7 2017;PHEV;Erhältlich ab 32.750 EUR;NEFZ-Reichweite (elekt.): 58 km;Kia;
Kia Optima 2.0 GDI 2017;PHEV;Erhältlich ab 40.490 EUR;NEFZ-Reichweite (elekt.): 54 km;Kia;https://www.e-stations.de/img/cars/Kia/168-Optima-1.jpg
Kia Soul 2017;BEV;Erhältlich ab 29.490 EUR;NEFZ-Reichweite (elekt.): 250 km;Kia;https://www.e-stations.de/img/cars/Kia/kia_soul_015.JPG
Kia Soul 2019;BEV;;NEFZ-Reichweite (elekt.): 400 km;Kia;
Kia Soul 2014;BEV;Erhältlich ab 30.790 EUR;NEFZ-Reichweite (elekt.): 212 km;Kia;https://www.e-stations.de/img/cars/Kia/kia_soul_015.JPG
Kia xCeed 2019;PHEV;;Reichweite noch unbekannt;Kia;https://www.e-stations.de/img/cars/Kia/217-xCeed-1.jpg
Land Rover Range Rover Sport P400e 2017;PHEV;Erhältlich ab 90.100 EUR;NEFZ-Reichweite (elekt.): 51 km;Land Rover;https://www.e-stations.de/img/cars/Land%20Rover/176-Range%20Rover%20Sport-1.jpg
Mazda Motors MX-30 2019;BEV;Erhältlich ab 33.990 EUR;NEFZ-Reichweite (elekt.): 200 km;Mazda;
Mercedes A-Klasse E-CELL 2010;BEV;;NEFZ-Reichweite (elekt.): 255 km;Mercedes;https://www.e-stations.de/img/cars/Mercedes/aklasse.jpg
Mercedes A-Klasse F-CELL 2010;FCEV;Erhältlich ab 16.269 EUR;NEFZ-Reichweite (elekt.): 385 km;Mercedes;https://www.e-stations.de/img/cars/Mercedes/aklasse.jpg
Mercedes B-Klasse Electric Drive 2013;BEV;Erhältlich ab 39.151 EUR;NEFZ-Reichweite (elekt.): 200 km;Mercedes;https://www.e-stations.de/img/cars/Mercedes/bklasse.jpg
Mercedes C-Klasse C 350 e 2015;PHEV;Erhältlich ab 51.051 EUR;NEFZ-Reichweite (elekt.): 31 km;Mercedes;https://www.e-stations.de/img/cars/Mercedes/C350-1.JPG
Mercedes C-Klasse C 350 e T-Modell 2015;PHEV;Erhältlich ab 52.627 EUR;NEFZ-Reichweite (elekt.): 31 km;Mercedes;https://www.e-stations.de/img/cars/Mercedes/C350T-1.JPG
Mercedes CETOS 2010;BEV;;NEFZ-Reichweite (elekt.): 130 km;Mercedes;https://www.e-stations.de/img/cars/Mercedes/vito.jpg
Mercedes CETOS Kombi 2010;BEV;Erhältlich ab 30.000 EUR;NEFZ-Reichweite (elekt.): 130 km;Mercedes;https://www.e-stations.de/img/cars/Mercedes/vito.jpg
Mercedes E-Klasse E 350 e 2016;PHEV;Erhältlich ab 59.440 EUR;NEFZ-Reichweite (elekt.): 30 km;Mercedes;https://www.e-stations.de/img/cars/Mercedes/E-Klasse-1.jpg
Mercedes EQC 400 4MATIC 2019;BEV;Erhältlich ab 71.281 EUR;NEFZ-Reichweite (elekt.): 450 km;Mercedes;https://www.e-stations.de/img/cars/Mercedes/187-EQC-1.jpg
Mercedes EQV 2019;BEV;Erhältlich ab 69.020 EUR;NEFZ-Reichweite (elekt.): 418 km;Mercedes;https://www.e-stations.de/img/cars/Mercedes/187-EQC-1.jpg
Mercedes eVito Tourer 2019;BEV;Erhältlich ab 53.990 EUR;NEFZ-Reichweite (elekt.): 421 km;Mercedes;https://www.e-stations.de/img/cars/Mercedes/167-eVito-1.jpg
Mercedes F 015 Luxury in Motion 2015;BEV;;Reichweite noch unbekannt;Mercedes;https://www.e-stations.de/img/cars/Mercedes/F015-1.JPG
Mercedes GLC 350 e 4MATIC 2015;PHEV;;NEFZ-Reichweite (elekt.): 34 km;Mercedes;https://www.e-stations.de/img/cars/Mercedes/GLC-1.JPG
Mercedes GLE 500 e 4MATIC 2015;PHEV;Erhältlich ab 73.899 EUR;NEFZ-Reichweite (elekt.): 30 km;Mercedes;https://www.e-stations.de/img/cars/Mercedes/GLE-1.JPG
Mercedes Maybach 6 2016;BEV;;NEFZ-Reichweite (elekt.): 500 km;Mercedes;https://www.e-stations.de/img/cars/Mercedes/Maybach-1.jpg
Mercedes S-Klasse S 500 e lang 2014;PHEV;Erhältlich ab 109.778 EUR;NEFZ-Reichweite (elekt.): 33 km;Mercedes;https://www.e-stations.de/img/cars/Mercedes/sklasse.jpg
Mercedes SLS AMG AMG Coupé Electric Drive 2013;BEV;Erhältlich ab 416.500 EUR;NEFZ-Reichweite (elekt.): 250 km;Mercedes;https://www.e-stations.de/img/cars/Mercedes/slsamg.jpg
mia electric mia;BEV;Erhältlich ab 25.504 EUR;Reichweite noch unbekannt;mia;https://www.e-stations.de/img/cars/mia%20electric/mia.jpg
mia electric mia;BEV;Erhältlich ab 28.994 EUR;Reichweite noch unbekannt;mia;https://www.e-stations.de/img/cars/mia%20electric/mia.jpg
Micro Mobility Systems AG Microlino Basisversion 2018;BEV;Erhältlich ab 12.000 EUR;NEFZ-Reichweite (elekt.): 120 km;Micro;https://www.e-stations.de/img/cars/Micro%20Mobility%20Systems%20AG/Microlino-1.jpg
MINI Cooper S E Countryman ALL4 2017;PHEV;Erhältlich ab 36.500 EUR;NEFZ-Reichweite (elekt.): 42 km;MINI;https://www.e-stations.de/img/cars/MINI/Cooper-1.jpg
MINI Cooper SE 2019;BEV;Erhältlich ab 32.500 EUR;NEFZ-Reichweite (elekt.): 242 km;MINI;https://www.e-stations.de/img/cars/MINI/Cooper-1.jpg
Mitsubishi Electric Vehicle 2010;BEV;Erhältlich ab 23.790 EUR;NEFZ-Reichweite (elekt.): 150 km;Mitsubishi;https://www.e-stations.de/img/cars/Mitsubishi/imiev.jpg
Mitsubishi Outlander Plug-In Hybrid 2014;PHEV;Erhältlich ab 39.990 EUR;NEFZ-Reichweite (elekt.): 52 km;Mitsubishi;https://www.e-stations.de/img/cars/Mitsubishi/Outlander1.jpg
Mitsubishi Outlander Plug-In Hybrid 2016;PHEV;Erhältlich ab 39.990 EUR;NEFZ-Reichweite (elekt.): 52 km;Mitsubishi;https://www.e-stations.de/img/cars/Mitsubishi/Outlander-2016-1.JPG
Nissan e-NV200 Kastenwagen 2017;BEV;Erhältlich ab 34.105 EUR;NEFZ-Reichweite (elekt.): 280 km;Nissan;https://www.e-stations.de/img/cars/Nissan/e-NV200-1.jpg
Nissan e-NV200 Kastenwagen Pro 2014;BEV;Erhältlich ab 25.058 EUR;NEFZ-Reichweite (elekt.): 163 km;Nissan;https://www.e-stations.de/img/cars/Nissan/eNV200-1.jpg
Nissan LEAF 2017;BEV;Erhältlich ab 31.950 EUR;NEFZ-Reichweite (elekt.): 378 km;Nissan;https://www.e-stations.de/img/cars/Nissan/LEAF-1.jpg
Nissan LEAF Visia (Basisversion) 2013;BEV;Erhältlich ab 28.960 EUR (optional Akkuleasing);NEFZ-Reichweite (elekt.): 199 km;Nissan;https://www.e-stations.de/img/cars/Nissan/leaf.jpg
Nissan LEAF Acenta 2013;BEV;Erhältlich ab 31.960 EUR (optional Akkuleasing);NEFZ-Reichweite (elekt.): 199 km;Nissan;https://www.e-stations.de/img/cars/Nissan/leaf.jpg
Nissan LEAF Tekna 2013;BEV;Erhältlich ab 34.360 EUR (optional Akkuleasing);NEFZ-Reichweite (elekt.): 199 km;Nissan;https://www.e-stations.de/img/cars/Nissan/leaf.jpg
Nissan LEAF E+ 2019;BEV;Erhältlich ab 44.700 EUR;NEFZ-Reichweite (elekt.): 528 km;Nissan;https://www.e-stations.de/img/cars/Nissan/LEAF-1.jpg
Nissan LEAF ZE1 MY19 2019;BEV;Erhältlich ab 36.800 EUR;NEFZ-Reichweite (elekt.): 389 km;Nissan;
Nissan LEAF Tekna 2015;BEV;Erhältlich ab 36.360 EUR (optional Akkuleasing);NEFZ-Reichweite (elekt.): 250 km;Nissan;
Opel Ampera 2011;E-REV;Erhältlich ab 38.620 EUR;NEFZ-Reichweite (elekt.): 80 km;Opel;https://www.e-stations.de/img/cars/Opel/ampera.jpg
Opel Ampera-E 2017;BEV;Erhältlich ab 39.680 EUR;NEFZ-Reichweite (elekt.): 520 km;Opel;https://www.e-stations.de/img/cars/Opel/Ampera-E-1.jpg
Opel e-Corsa 2019;BEV;Erhältlich ab 29.900 EUR;NEFZ-Reichweite (elekt.): 330 km;Opel;https://www.e-stations.de/img/cars/Opel/204-e-Corsa-1.jpg
Opel Grandland XHybrid4 SUV 2019;PHEV;Erhältlich ab 50.000 EUR;NEFZ-Reichweite (elekt.): 50 km;Opel;https://www.e-stations.de/img/cars/Opel/213-Grandland_XHybrid4-1.jpg
Opel Mokka-e 2020;BEV;Erhältlich ab 35.000 EUR;NEFZ-Reichweite (elekt.): 322 km;Opel;https://www.e-stations.de/img/cars/Opel/234-Mokka-e-1.jpg
Peugeot e-2008;BEV;Erhältlich ab 35.250 EUR;Reichweite noch unbekannt;Peugeot;
Peugeot e-208 2019;BEV;Erhältlich ab 30.450 EUR;NEFZ-Reichweite (elekt.): 340 km;Peugeot;
Peugeot e-Legend Concept 2019;BEV;;Reichweite noch unbekannt;Peugeot;https://www.e-stations.de/img/cars/Peugeot/e-Legend-1.jpg
Peugeot iOn 2010;BEV;Erhältlich ab 17.850 EUR;Reichweite noch unbekannt;Peugeot;https://www.e-stations.de/img/cars/Peugeot/iOn.jpg
Peugeot Partner Tepee 2017;BEV;Erhältlich ab 20.800 EUR;NEFZ-Reichweite (elekt.): 170 km;Peugeot;
Peugeot Partner L1 2014;BEV;Erhältlich ab 31.059 EUR;NEFZ-Reichweite (elekt.): 170 km;Peugeot;https://www.e-stations.de/img/cars/Peugeot/peugeot-partner-electric.jpg
Polestar Polestar 1 Basisversion 2020;PHEV;Erhältlich ab 151.092 EUR;NEFZ-Reichweite (elekt.): 150 km;Polestar;
Polestar Polestar 2 2020;BEV;Erhältlich ab 53.540 EUR;NEFZ-Reichweite (elekt.): 470 km;Polestar;
Porsche 918 Spyder 2013;PHEV;Erhältlich ab 768.026 EUR;NEFZ-Reichweite (elekt.): 25 km;Porsche;https://www.e-stations.de/img/cars/Porsche/Porsche-918-1.JPG
Porsche Cayenne S E-Hybrid 2014;PHEV;Erhältlich ab 82.920 EUR;NEFZ-Reichweite (elekt.): 36 km;Porsche;https://www.e-stations.de/img/cars/Porsche/cayenne1.jpg
Porsche Mission E 2015;BEV;;NEFZ-Reichweite (elekt.): 500 km;Porsche;https://www.e-stations.de/img/cars/Porsche/Mission-E-1.jpg
Porsche Panamera S E-Hybrid 2013;PHEV;Erhältlich ab 104.340 EUR;NEFZ-Reichweite (elekt.): 36 km;Porsche;https://www.e-stations.de/img/cars/Porsche/panamera.jpg
Porsche Taycan 4S 2019;BEV;Erhältlich ab 105.607 EUR;NEFZ-Reichweite (elekt.): 412 km;Porsche;https://www.e-stations.de/img/cars/Porsche/191-Taycan-1.jpg
Porsche Taycan Cross Turismo 2019;BEV;Erhältlich ab 152.000 EUR;NEFZ-Reichweite (elekt.): 500 km;Porsche;https://www.e-stations.de/img/cars/Porsche/Taycan-1.jpg
Porsche Taycan Turbo 2019;BEV;Erhältlich ab 152.136 EUR;NEFZ-Reichweite (elekt.): 500 km;Porsche;https://ev-database.de/pkw/1116/Porsche-Taycan-Turbo-S
Porsche Taycan Turbo S 2019;BEV;Erhältlich ab 185.456 EUR;NEFZ-Reichweite (elekt.): 500 km;Porsche;https://ev-database.de/pkw/1116/Porsche-Taycan-Turbo-S
QUANT e-Sportlimousine 2014;BEV;;NEFZ-Reichweite (elekt.): 600 km;QUANT;https://www.e-stations.de/img/cars/QUANT/quant.jpg
Renault Fluence Expression 2012;BEV;Erhältlich ab 25.690 EUR;NEFZ-Reichweite (elekt.): 185 km;Renault;https://www.e-stations.de/img/cars/Renault/Fluence-1.JPG
Renault Kangoo Maxi 2017;BEV;Erhältlich ab 31.120 EUR (optional Akkuleasing);NEFZ-Reichweite (elekt.): 270 km;Renault;
Renault Kangoo 2017;BEV;Erhältlich ab 29.920 EUR (optional Akkuleasing);NEFZ-Reichweite (elekt.): 270 km;Renault;
Renault Kangoo 2011;BEV;Erhältlich ab 23.800 EUR;Reichweite noch unbekannt;Renault;https://www.e-stations.de/img/cars/Renault/Kangoo-1.JPG
Renault Kangoo Maxi 2011;BEV;Erhältlich ab 26.180 EUR;Reichweite noch unbekannt;Renault;https://www.e-stations.de/img/cars/Renault/Kangoo-Maxi-1.JPG
Renault MASTER Z.E. Basisversion 2018;BEV;Erhältlich ab 59.900 EUR;NEFZ-Reichweite (elekt.): 200 km;Renault;https://www.e-stations.de/img/cars/Renault/184-MASTER%20Z.E.-1.jpg
Renault Twingo Z.E. 2020;BEV;Erhältlich ab 21.500 EUR;NEFZ-Reichweite (elekt.): 180 km;Renault;
Renault Twizy Urban 2011;BEV;Erhältlich ab 7.690 EUR;NEFZ-Reichweite (elekt.): 100 km;Renault;https://www.e-stations.de/img/cars/Renault/Twizy-1.JPG
Renault Twizy Cargo Life 2013;BEV;Erhältlich ab 8.680 EUR;Reichweite noch unbekannt;Renault;https://www.e-stations.de/img/cars/Renault/twizycargo.jpg
Renault ZOE R240 Life 2012;BEV;Erhältlich ab 21.700 EUR;NEFZ-Reichweite (elekt.): 210 km;Renault;https://www.e-stations.de/img/cars/Renault/zoe.jpg
Renault ZOE Life R110 Z.E. 40;BEV;Erhältlich ab 21.900 EUR;NEFZ-Reichweite (elekt.): 316 km;Renault;
Renault ZOE Life R110 Z.E. 50;BEV;Erhältlich ab 23.900 EUR;NEFZ-Reichweite (elekt.): 395 km;Renault;
Renault ZOE EXPERIENCE R110 Z.E. 50;BEV;Erhältlich ab 24.900 EUR;NEFZ-Reichweite (elekt.): 395 km;Renault;
Renault ZOE EXPERIENCE R135 Z.E. 50;BEV;Erhältlich ab 25.900 EUR;NEFZ-Reichweite (elekt.): 386 km;Renault;
Renault ZOE INTENS R135 Z.E. 50;BEV;Erhältlich ab 27.900 EUR;NEFZ-Reichweite (elekt.): 386 km;Renault;
Renault ZOE R90 Life 2015;BEV;Erhältlich ab 21.500 EUR;NEFZ-Reichweite (elekt.): 240 km;Renault;https://www.e-stations.de/img/cars/Renault/zoe.jpg
Renault ZOE Q90 Life 2016;BEV;Erhältlich ab 32.900 EUR (optional Akkuleasing);NEFZ-Reichweite (elekt.): 400 km;Renault;https://www.e-stations.de/img/cars/Renault/ZOE-1.jpg
Rimac Concept_One 2014;BEV;;NEFZ-Reichweite (elekt.): 500 km;Rimac;https://www.e-stations.de/img/cars/Rimac/Rimac-1.JPG
Seat El Born 2020;BEV;Erhältlich ab 37.500 EUR;NEFZ-Reichweite (elekt.): 420 km;Seat;https://www.e-stations.de/img/cars/Seat/208-El_Born-1.jpg
Seat Mii electric 2019;BEV;Erhältlich ab 20.650 EUR;NEFZ-Reichweite (elekt.): 353 km;Seat;https://www.e-stations.de/img/cars/Seat/eMii-1.jpg
Skoda Enyaq iV 60 2021;BEV;Erhältlich ab 38.850 EUR;NEFZ-Reichweite (elekt.): 390 km;Skoda;
Skoda Superb iV 2019;PHEV;Erhältlich ab 41.590 EUR;NEFZ-Reichweite (elekt.): 55 km;Skoda;
SKODA AUTO e-Citigo e iV 2019;PHEV;Erhältlich ab 41.590 EUR;NEFZ-Reichweite (elekt.): 265 km;SKODA;
Smart cabrio EQ 2016;BEV;Erhältlich ab 25.200 EUR;NEFZ-Reichweite (elekt.): 160 km;Smart;https://www.e-stations.de/img/cars/Smart/cabrio-1.jpg
Smart forfour EQ 2016;BEV;Erhältlich ab 22.600 EUR;NEFZ-Reichweite (elekt.): 155 km;Smart;https://www.e-stations.de/img/cars/Smart/forfour-1.jpg
Smart fortwo Coupé 2012;BEV;Erhältlich ab 18.910 EUR;NEFZ-Reichweite (elekt.): 145 km;Smart;https://www.e-stations.de/img/cars/Smart/smarted.jpg
Smart fortwo Coupé 2012;BEV;Erhältlich ab 29.990 EUR;NEFZ-Reichweite (elekt.): 145 km;Smart;https://www.e-stations.de/img/cars/Smart/smart-ed-BRABUS.jpg
Smart fortwo Cabrio 2012;BEV;Erhältlich ab 26.690 EUR;NEFZ-Reichweite (elekt.): 145 km;Smart;https://www.e-stations.de/img/cars/Smart/smarted.jpg
